2018-12-31 01:27:41,"b'RT @Ram_sadguru: Namaste \xf0\x9f\x99\x8f\non this #HappyNewYear2019 say no to intoxication and read inspiration and motivational book ""Gyan Ganga"" in this\xe2\x80\xa6'"
2018-12-31 01:27:40,"b'RT @naveen76496: #happynewyear2019\n#HappyNewYear\nYour book shelf has many books but special book is still not there\xf0\x9f\xa7\x90order this New Year, a\xe2\x80\xa6'"
2018-12-31 01:27:37,b'Advance Happy New Year Everybody! \nPage 365 of 365 #HappyNewYear2019 https://t.co/6LNwRchCjD'
2018-12-31 01:27:32,"b'RT @lorenaBizkarret: This year has been horrible for some of us. I hope the next one brings us, love, health, prosperity and well-being. #H\xe2\x80\xa6'"
2018-12-31 01:27:31,b'RT @Dipendr06822631: #HappyNewYear2019\nOn the eve of New Year we have to take an oath that we will never take intoxicants in our lives and\xe2\x80\xa6'
2018-12-31 01:27:27,"b""RT @GadhVarun: Christmas Celebration continues till #NewYear. \nEverywhere it's just enjoyment but worship, thankfulness to God is no where\xe2\x80\xa6"""
2018-12-31 01:27:27,b'#headStartCaps 365 New Chances. #HappyNewYear2019 https://t.co/Nty2GKwnT4'
2018-12-31 01:27:24,b'RT @naveen76496: #HappyNewYear2019\nHey! \xf0\x9f\xa4\xa9what a nice spiritual book my friend has gifted me this New Year .My way to look at life has chang\xe2\x80\xa6'
2018-12-31 01:27:21,b'RT @antil_seema: #HappyNewYear\nKnow How we can Happy  on #newyear ??? \nWe can happy only by worship of supreme God\n#HAPPYNEWYEAR2019\n\nhttps\xe2\x80\xa6'
2018-12-31 01:27:18,b'RT @Realbirth_2012: On the #HappyNewYear2019 say #HappyNewYear\nBut Say No to alcohol &amp; all narcotics which will take you in the mouth of De\xe2\x80\xa6'
2018-12-31 01:27:15,b'RT @kabeerisgodd: On #HappyNewYear2019 \nAnd #HappyNewYear \nMust Watch A Message From Muslim Brother About Sanatan Dhrama\nhttps://t.co/Fybza\xe2\x80\xa6'
2018-12-31 01:27:02,b'RT @TheMattBRoberts: Wonder who he\xe2\x80\x99s looking at? #TheBirdsAndTheBees #Outlander and have a  #HappyNewYear2019 https://t.co/VJ5hkBgO3e'
2018-12-31 01:27:00,b'RT @zahoorahmed553: Do you have less than 1M\n \nIf you want more followers fast \xf0\x9f\x92\xa6\n\nLet to go get together with love &amp; peace and follow all\xe2\x80\xa6'
2018-12-31 01:26:59,b'Kollywood 2018 Top10  #BestOf2018 #YearEnd2018 Review by @sathishraina348\n#HappyNewYear2019 #HappyNewYear\nhttps://t.co/6s3QAOakuW'
2018-12-31 01:26:49,b'@Dollhouse @IngeLiseVejlgaa @SherylPrattERA @SherryBabyRuth @rubberclowncar @MattBoydston @Drawnsome @thecocoscott\xe2\x80\xa6 https://t.co/XxFgQaBGZe'
2018-12-31 01:26:48,b'#happynewyear2019 \nThe end of what we began last year and thanking God we have a chance to to do it over again in a\xe2\x80\xa6 https://t.co/YJmcaQhLP8'
2018-12-31 01:26:47,b'RT @gerrinnesmac: @loveGoldenHeart @CherubNation @SemaCiel0101 @NoorioZehra @Chrissie_Rose1 @letgolifeflows @jill_magnussen @Mythvoyager @B\xe2\x80\xa6'
